user;document;corpus;paragraph;system_relevance;perceived_relevance;system_relevance_type;f_average_fixation_duration;f_average_forward_saccades_length;f_regression_ratio;f_thorough_reading_ratio;f_coherently_read_text_length
B02;g-rel_q085-2;g-rel;0;False;False;i;0.30860507882916455;190.73299123030938;0.0;0.6835794593891217;4480.084466774295
B03;g-rel_q103-1;g-rel;0;False;False;i;0.2674381503847412;192.23174950510054;0.0;0.5576857021387486;2810.727334348384
B03;g-rel_q085-2;g-rel;0;False;False;i;0.2801060087664023;213.55049023014632;0.0;0.58164079830588;5929.84237007705
B03;g-rel_q094-2;g-rel;0;False;True;t;0.25024729467210116;184.06505308168587;0.0;0.6238331640317694;3939.918272784228
B03;g-rel_q118-1;g-rel;0;True;True;r;0.28208007382120964;215.40956391560513;0.0;0.5313902207568841;3610.236690412911
B03;g-rel_q122-2;g-rel;0;False;False;i;0.27196015143853336;226.92492643052645;0.0;0.32395540803843786;2920.443259833324
B03;g-rel_q076-1;g-rel;0;True;True;r;0.2708908461745435;195.56659688723317;0.0;0.5771833428773894;7048.486974734595
B03;g-rel_q075-1;g-rel;0;False;False;i;0.26390821801853837;201.6376677069288;0.0;0.42134169289978357;6198.7127312874545
B03;g-rel_q134-3;g-rel;0;False;True;t;0.26051834117674066;179.3132854651672;0.0;0.8659099481616982;12185.505915045507
B03;g-rel_q128-1;g-rel;0;True;True;r;0.29055620914970354;213.79222944483163;0.0;0.5020999122646393;2714.200553890896
B03;g-rel_q097-2;g-rel;0;False;True;t;0.2983107689380412;190.34280575171312;0.0;0.5853666619944834;4751.027850707559
B03;g-rel_q116-1;g-rel;0;True;True;r;0.2704257285795498;194.66308326110112;0.0;0.7124620125952639;5894.097150757082
B03;g-rel_q088-1;g-rel;0;False;False;t;0.31054662002037764;178.6153032696238;0.0;0.6350055735830891;9153.5498478487
B04;g-rel_q094-2;g-rel;0;False;True;t;0.34318545386761057;171.77598615217917;0.0;0.8793545298581588;4825.287504562804
B04;g-rel_q118-1;g-rel;0;True;True;r;0.290157942540604;188.97651646571975;0.0;0.5981538670281944;5547.389628059663
B04;g-rel_q134-3;g-rel;0;False;False;t;0.34729507826831546;190.21628843411818;0.0;0.8493346766749384;3978.978205669135
B04;g-rel_q122-2;g-rel;0;False;False;i;0.28622035163139414;193.25077985912696;0.0;0.6484976572728911;3380.7768251748294
B04;g-rel_q128-1;g-rel;0;True;True;r;0.3518861910784477;191.0862474446023;0.0;0.3980661927358172;3062.563349477181
B04;g-rel_q085-2;g-rel;0;False;False;i;0.26399267101669693;203.31987578280203;0.0;0.5279254431719131;2511.6297953700996
B04;g-rel_q076-1;g-rel;0;True;True;r;0.2990951597891352;190.18190727062353;0.0;0.6542506974032816;4286.3052183864675
B04;g-rel_q075-1;g-rel;0;False;False;i;0.28409611595507867;215.2933352467074;0.0;0.23607447083778735;1368.3355043037668
B04;g-rel_q097-2;g-rel;0;False;False;t;0.3050218975486329;191.29542580701525;0.0;0.7615241380592223;10768.009108111546
B04;g-rel_q088-1;g-rel;0;False;False;t;0.31864097501201327;180.7094287811067;0.0;0.6754311648565262;2329.254730537766
B04;g-rel_q103-1;g-rel;0;False;False;i;0.273662564638041;183.99961262086742;0.0;0.5757067177063523;2649.508774596099
B04;g-rel_q116-1;g-rel;0;True;True;r;0.29611666130490266;177.33021215812883;0.0;1.0;10673.856378211332
B05;g-rel_q103-1;g-rel;0;False;False;i;0.29462886186828385;170.8997338509533;0.0;1.0;2666.4472932210556
B05;g-rel_q097-2;g-rel;0;False;False;t;0.3445214593025413;170.28027491444493;0.0;0.8506973897358199;15487.134398077134
B05;g-rel_q085-2;g-rel;0;False;False;i;0.31821524277330426;170.51303179468576;0.0;0.8377727163285764;11600.814359222624
B05;g-rel_q122-2;g-rel;0;False;False;i;0.2717139999353336;165.79130466686954;0.0;0.906154593722635;5694.81868785219
B05;g-rel_q118-1;g-rel;0;True;True;r;0.2980216769454736;169.5565761070019;0.0;0.9719325448676467;16960.98545897024
B05;g-rel_q116-1;g-rel;0;True;True;r;0.33021421870642165;175.35549918239428;0.0;0.8792900110052034;11171.061838624515
B05;g-rel_q094-2;g-rel;0;False;False;t;0.3394921195601096;177.08657457225152;0.0;0.6708157266291003;9263.383499109486
B05;g-rel_q076-1;g-rel;0;True;True;r;0.32560174528740216;176.81179748975916;0.0;0.834958656881795;14473.355378386317
B05;g-rel_q088-1;g-rel;0;False;False;t;0.3385201899216525;167.3170293928729;0.0;0.9098309045391769;19525.56287707574
B05;g-rel_q128-1;g-rel;0;True;True;r;0.31164803240714223;171.50206645653384;0.0;0.8220560117260878;7686.088778981544
B05;g-rel_q134-3;g-rel;0;False;False;t;0.28282291994708275;173.98002897838597;0.0;0.8231191656848069;12967.41689274853
B05;g-rel_q075-1;g-rel;0;False;False;i;0.276925872472722;159.32010789082213;0.0;1.0;6219.460609536773
B06;g-rel_q134-3;g-rel;0;False;False;t;0.3570537304163274;172.81107622467135;0.0;0.8269513117370739;8500.387673686719
B06;g-rel_q128-1;g-rel;0;True;True;r;0.37081768983087005;217.43186468394737;0.0;1.0;3776.8127958656883
B06;g-rel_q088-1;g-rel;0;False;False;t;0.3163335903855711;232.28087354676228;0.0;0.5226898145836426;2518.8914439191635
B06;g-rel_q103-1;g-rel;0;False;False;i;0.33970338989557636;193.93377863518833;0.0;0.5539378106607953;3829.179434398559
B06;g-rel_q116-1;g-rel;0;True;True;r;0.32708055933645236;174.20663693190428;0.0;0.736428322963782;7932.318049382939
B06;g-rel_q097-2;g-rel;0;False;False;t;0.31344252561690406;201.73504693124414;0.0;0.4774904411522016;2938.6532654870343
B06;g-rel_q118-1;g-rel;0;True;True;r;0.37197148639432165;168.47805938551977;0.0;0.9255114383024796;14499.744581434976
B06;g-rel_q076-1;g-rel;0;True;True;r;0.2988656128010817;196.49015002823612;0.0;0.7828085345435094;7868.8236645544
B06;g-rel_q075-1;g-rel;0;False;True;i;0.29570799426611477;206.73262074718363;0.0;0.5993886848431573;4749.508850595105
B06;g-rel_q122-2;g-rel;0;False;False;i;0.3267379150846354;210.54674106263434;0.0;0.4797608443266138;2877.656532602628
B06;g-rel_q094-2;g-rel;0;False;True;t;0.40817311536745493;168.59447031348284;0.0;0.9234075614746541;9389.618756344124
B06;g-rel_q085-2;g-rel;0;False;False;i;0.31870132067555107;184.23074931446058;0.0;0.9166721652816971;10139.507212185772
B07;g-rel_q075-1;g-rel;0;False;False;i;0.33079109297148906;206.08767861463718;0.0;0.8395207192911406;14432.454497908599
B07;g-rel_q085-2;g-rel;0;False;False;i;0.2553415767602868;213.2794374694311;0.0;0.0;0.0
B07;g-rel_q088-1;g-rel;0;False;False;t;0.3456898495610638;168.06766455283963;0.0;0.8602524068553059;11946.779681188282
B07;g-rel_q128-1;g-rel;0;True;True;r;0.3182704805675846;207.20278320434613;0.0;0.7979782053512559;3228.5226024227622
B07;g-rel_q094-2;g-rel;0;False;False;t;0.38681660012224994;180.49672726869233;0.0;0.9493568765705791;13675.921239933143
B07;g-rel_q134-3;g-rel;0;False;True;t;0.310872814908798;186.06279962058932;0.0;0.7135960738653258;5848.870507019815
B07;g-rel_q103-1;g-rel;0;False;False;i;0.31231608205387973;193.31174622485267;0.0;0.46820452460271456;2764.281121966551
B07;g-rel_q097-2;g-rel;0;False;False;t;0.40399595521392906;173.3299232741674;0.0;0.780193803772829;4758.794564657621
B07;g-rel_q118-1;g-rel;0;True;True;r;0.32702128901041233;206.3224054565627;0.0;0.7257111335948148;4493.102485740515
